Name,C,C#,D,Eb,E,F,F#,G,G#,A,Bb,B,Hint,
A,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,x02220,
Bb,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,x13331,
B,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,x24442,
C,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,x32010,
C#,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,x46664,
D,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,xx0232,
Eb,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,x68886,
E,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,022100,
F,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,133211,
F#,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,244322,
G,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,320003,
G#,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,466544,
Am,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,x02210,
Bbm,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,x13321,
Bm,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,x24432,
Cm,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,x35543,
C#m,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,x46654,
Dm,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,xx0231,
Ebm,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,x68876,
Em,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,022000,
Fm,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,133111,
F#m,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,244222,
Gm,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,355333,
G#m,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,466444,
A7,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,x02020,
Bb7,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,x13131,
B7,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,x21202,
C7,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,x32310,
C#7,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,x4342x,
D7,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,-0.75,xx0212,
Eb7,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,xx1323,
E7,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,020100,
F7,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,-0.75,xx3545,
F#7,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,-0.75,xx4320,
G7,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,0.75,320001,
G#7,0.75,-0.75,-0.75,0.75,-0.75,-0.75,0.75,-0.75,0.75,-0.75,-0.75,-0.75,464544,
